
Bab 1055 – Penjara Surgawi Asal Tertinggi
	Bab 1055 Penjara Surgawi Asal Tertinggi
	Kekacauan Kesembilan akan memasuki malapetaka. Di masa lalu, Kekacauan Kesembilan luar biasa dan tidak akan membuat jebakan seperti itu.
Namun, ini juga berarti Kekacauan Kesembilan sedang panik. Han Jue mengalihkan pandangannya dan berhenti menatap Yu Yuan.
	Dia akan mengutuk Yu Yuan sampai mati ketika dia akan mengancamnya.
	Jika dia bisa melampaui Kekacauan Kesembilan dan menjadi Dewa Pencipta sebelum ini, dia akan melemparkan Kekacauan Kesembilan, Yu Yuan, dan Roh Ilahi Berkepala Sembilan ke Penjara Surgawi Primordial. Han Jue semakin tersenyum saat memikirkan manfaatnya.
	Dia mulai mengamati Kekacauan untuk melihat apakah ada orang yang menonjol di antara keturunan dan muridnya. Seribu tahun kemudian.
	[Penjara Surgawi Primordial telah berhasil ditingkatkan dan diubah menjadi Penjara Surgawi Asal Tertinggi.]
	Selalu baca LN/WN di meionovel.id
	[Penjara Surgawi Asal Tertinggi: Itu hanya dapat ditemukan di Bidang Dao. Jika ada yang dipenjara, menurut kekuatan kultivasi mereka, waktu dipenjara akan berbeda sampai mereka menjadi budak Dao Field. Hidup dan mati mereka akan dikendalikan oleh Penguasa Bidang Dao. Tidak terpengaruh oleh ciptaan, pemeliharaan, karma, dan sebagainya. Penjara Surgawi Asal Tertinggi hanya dapat memenjarakan satu makhluk hidup paling banyak pada satu waktu dan mengubahnya menjadi Bentuk Kehidupan Asal Tertinggi.]
	Mendominasi! Tidak terpengaruh oleh semuanya! Itu bahkan akan mengubah tahanan menjadi Ultimate Origin Lifeform! Dengan kata lain, menundukkan Pencipta Dao dan mengubah mereka menjadi Bentuk Kehidupan Asal Tertinggi akan meningkatkan pemeliharaan Dunia Asal Tertinggi dan meningkatkan kultivasi Han Jue.
	Dalam sekejap, Han Jue tiba-tiba ingin keluar dan menangkap seseorang.
	Tidak!
	Dia hanya bisa memenjarakan satu orang pada satu waktu. Ini akan memakan waktu terlalu lama dan pasti akan menarik perhatian yang tidak diinginkan.
	Meskipun Han Jue tidak takut pada Kekacauan Kesembilan yang menyerang Bidang Dao, segala sesuatu di luar Bidang Dao tidak ada artinya baginya. Dia benar-benar bisa terus menatap Han Jue dan terus-menerus menghancurkan Dunia Dao Besar, menyebabkan Han Jue tidak bisa maju.
	Ketika Dunia Dao Besar mencapai tingkat tertentu, itu akan dipancing dengan paksa, jadi tidak mungkin bagi Han Jue untuk bersembunyi. Kecuali dia berharap tingkat kultivasinya akan seperti ini dan tidak pernah membaik. Han Jue berhenti berpikir. Dia harus terus berkultivasi dan berusaha untuk menerobos secepat mungkin.
Dia harus mencapai Alam Dewa Pencipta terlebih dahulu!
	Pulau-pulau terapung berkumpul seperti bintang menghiasi langit biru. Di paviliun mirip pagoda kayu. Seorang pria muda sedang bermeditasi, menyerap Roh Qi dari Langit dan Bumi. Di bangku di sampingnya berbaring seorang lelaki tua. Pemuda ini adalah Yu Yuan. Dia memiliki penampilan yang bermartabat dan pembawaan yang luar biasa. Orang tua itu dibentuk oleh Roh Ilahi Berkepala Sembilan dan terlihat sangat biasa tanpa Immortal Qi. “Senior, teknik kultivasi yang kamu ajarkan padaku sedikit aneh.” Yu Yuan tiba-tiba membuka matanya. Roh Ilahi Berkepala Sembilan terkekeh. “Tidak terbatas dan mendalam, kan?” “Tidak, Spirit Qi yang dibutuhkan untuk setiap alam puluhan kali lebih banyak daripada teknik kultivasi biasa. Lebih jauh lagi, jumlah ini akan meningkat seiring bertambahnya ranah saya. Bukankah itu berarti saya harus mengeluarkan lebih banyak usaha daripada yang lain di masa depan? Yuyuan mengerutkan kening.
	“Kamu jenius. Bukankah itu bagus? Semakin sulit untuk berkultivasi, semakin kuat teknik kultivasinya. Anda harus mengerti.”
	“Tetapi…”
	“Jangan pikirkan tentang Majelis Chaotic itu. Anda bisa membuatnya tepat waktu, tapi bagaimana setelahnya? Tujuan yang ingin Anda hancurkan bukanlah Puncak Abadi.
	Roh Ilahi Berkepala Sembilan melambaikan tangannya dengan tidak sabar. Yu Yuan menghela nafas dan terus berkultivasi. Roh Ilahi Berkepala Sembilan memandang ke langit dengan heran. Mengapa Divine Might Heavenly Sage belum datang? Mungkinkah dia benar-benar tidak suka berkelahi dan suka berkultivasi dengan rajin? Roh Ilahi Berkepala Sembilan berpikir bahwa Han Jue akan datang dan mengambil Yu Yuan dan mengubahnya menjadi bidaknya. Namun, dia telah berada di sini selama ratusan tahun dan Han Jue belum juga muncul.
	Mungkinkah dia terlalu cemas? Itu benar! “Aku akan menunggu sebentar.”
	Ketika potensi Yu Yuan ditampilkan dan bersamanya di sini, jika Petapa Surgawi yang Agung datang untuk berurusan dengan Yu Yuan, dia akan dibunuh oleh Ayah. Senyum Roh Ilahi Berkepala Sembilan menjadi lebih cerah. Satu-satunya eksistensi yang bisa membunuh Han Jue adalah ayahnya.
	Oleh karena itu, dia sangat menantikan kedatangan Han Jue. Identitas Yu Yuan dirahasiakan. Ayah telah menginstruksikan bahwa bahkan keberadaan transenden lainnya tidak dapat menemukannya.
	Begitu saja, ribuan tahun berlalu. Satu juta tahun berlalu dalam sekejap mata. Han Jue masih belum datang. Roh Ilahi Berkepala Sembilan sedikit putus asa. Saat ini, Yu Yuan bersiap untuk keluar dan berpetualang. Dia ingin mencoba memasuki Pengadilan Kaisar Penciptaan ketika dia mendengar mereka merekrut makhluk abadi di domain terdekat.
	Kelahirannya di dunia fana dianggap sebagai yang terbaik, tetapi tidak layak disebut dalam Kekacauan. Dia harus mengandalkan faksi besar jika dia ingin mendapatkan pijakan di Kekacauan, dan dia menyukai gaya Kaisar. Roh Ilahi Berkepala Sembilan tidak menghentikannya, karena dia tahu bahwa jika Yu Yuan ingin tumbuh dewasa, dia harus mandiri dan tidak bergantung padanya. Dia tidak takut Yu Yuan sekarat. Ayah berkata bahwa dia hanya perlu mengajarinya kultivasi dan tidak peduli tentang hal lain.
	Apa artinya itu? Yu Yuan berada di bawah perlindungan Ayah! Dia tidak bisa mati!
	Kunjungi terus meionovel.id
	“Sayangnya, Petapa Surgawi yang Agung tidak datang.”
	Roh Ilahi Berkepala Sembilan berpikir dalam hati saat dia berpisah dengan Yu Yuan.
	Yu Yuan datang ke Chaotic Void dan melihat ke arah kekosongan yang luas. Dia sangat bersemangat.
	“Kekacauan, aku di sini! Penciptaan Kaisar Pengadilan, saya ingin melihat seberapa kuat para jenius di dalamnya daripada saya! Yu Yuan berpikir sendiri.
	Ribuan tahun kemudian, dia berhasil memasuki Pengadilan Kaisar Penciptaan. Potensinya luar biasa dan dia disukai oleh dewa, tetapi dia tidak memenuhi syarat untuk berhubungan dengan Kaisar. Belum lagi Kaisar, statusnya di Pengadilan Kaisar Penciptaan masih jauh lebih rendah. Bahkan Han Ye, Han Yao, dan Han Bashen adalah legenda yang jauh di luar jangkauannya. Pengadilan Kaisar Penciptaan saat ini sudah menjadi raksasa. Murid-muridnya berjumlah miliaran. Mereka memiliki makhluk abadi dan dewa yang tak terhitung jumlahnya dengan level yang menakutkan!
	Jika Anda menemukan kesalahan (tautan rusak, konten tidak standar, dll.), Beri tahu kami atau beri tag admin di komentar agar kami dapat memperbaikinya sesegera mungkin.
